Year,Productivity,Pay
2016q2,354.4,231.1
2016q3,355.4,231.5
2016q4,357.9,231.4
2017q1,357.8,231.2
2017q2,357.9,232.4
2017q3,361.4,233.2
2017q4,362.7,232.8
2018q1,364,233.2
2018q2,364.5,234.1
2018q3,365.5,235.2
2018q4,365.2,236.7
2019q1,367.3,237.7
2019q2,368.8,238.3
2019q3,372.1,239.6
2019q4,374.1,240
2020q1,373.2,241
2020q2,386.3,253.7
2020q3,392.8,248.3
2020q4,389.9,248.1
2021q1,394.6,248.5
2021q2,396,247.5
2021q3,395.1,247.5
2021q4,395.8,246.1
2022q1,391.6,244.4
2022q2,389.4,242.1
2022q3,388.6,241.7
2022q4,390.5,242.6
2023q1,391.8,243.6
2023q2,393.3,245.1
2023q3,398.3,246
2023q4,400.3,247.3
2024q1,401.1,248
2024q2,403.7,248.8
2024q3,405.7,250.8
2024q4,406.5,251.4
2025q1,404.5,251.8
2025q2,408.5,253.1
2025q3,412.3,253.6
